11,1198.17,1214.95,1194.42,1210.4,1195.634,1197.041,1183.718,1188.47,1206.677,1253.593,1271.564,72.523,67.857,81.855,0.36,-3.774,8.268,1.204,1.229,2.553,136.911,83.984,71.035,72.92,77.097,22.806,11.685,31.516,29.701,60.774,56.121,51.285,13.515,24.104,-5.729,-16.432,1182.187,1223.727,1140.647,78.474,78.453,50,0.532,0.506,0.484,11.3,0.585,1189.163,1190.779,2.125,2.349,67.857,66.853,94.89,0.638,0.037,-71838.547,-72026.063,1197.041,1204.354,1189.728,-0.264,98.381,37.775,1265.58,1122.935,1270.61,1285.02,1299.43,1192.18,1128.16,1064.14,0.122,-0.071,-0.126,25.18,5.5,20.53,24.336,-0.003,-0.001,60.766,58.336,0.012,1335.901,715.389,1207.884,1183.384,1944.302,1918.992,1911.045,0.855,0.835
10,1613.47,1620.02,1611.75,1615.25,1607.956,1610.828,1606.588,1597.677,1596.516,1618.041,1653.369,60.226,58.249,64.179,4.727,4.639,0.175,0.328,0.436,0.811,73.928,137.074,106.296,114.297,98.52,14.502,21.718,23.947,16.785,59.526,56.386,53.206,29.2,18.993,13.081,11.712,1601.187,1631.58,1570.793,138.374,128.484,66.667,-0.021,-0.044,0.054,-0.62,3.458,1599.658,1595.954,0.983,-0.167,58.249,60.731,100,0.515,0.046,-43343.422,-43380.668,1610.828,1615.51,1606.146,-0.133,100.819,62.714,1699.009,1523.021,1646.527,1657.103,1667.68,1605.097,1574.243,1543.39,0.265,0.29,0.156,15.73,8.305,8.27,17.323,0.001,-0.001,49.348,48.55,0.003,442.2,182.797,1616.081,1599.831,2198.667,2193.545,2196.691,0.959,0.97
10,368.8,371.3,367.5,369,369.32,368.99,363.97,361.092,363.353,372.502,353.731,52.411,61.902,33.429,2.87,2.292,1.155,-0.12,0.183,1.829,52.72,144.352,169.948,136.389,83.549,32.027,10.281,58.546,42.897,61.523,61.099,54.121,38.235,24.436,7.826,4.087,361.977,375.383,348.57,150.443,137.066,50,0.418,0.503,0.573,-3.2,2.233,360.919,358.79,0.792,3.04,61.902,71.51,12.998,0.308,0.138,-729.073,-726.735,368.99,372.665,365.315,-0.044,101.379,9.565,389.503,347.933,375.133,381.367,387.6,363.033,357.167,351.3,0.624,0.557,0.526,2.9,6.98,3.8,4.829,-0.006,-0.001,53.641,57.379,0.012,1.001,163.594,371.764,366.876,28.35,29.62,27.535,1.083,1.082
10,287.25,289.75,285.2,286.8,284.51,282.09,284.605,287.8,296.037,277.194,277.691,76.669,65.981,98.043,-2.075,-2.994,1.838,0.924,1.651,0.094,179.203,89.558,76.808,74.473,69.607,25.957,20.277,30.542,40.941,67.802,52.642,49.574,18.73,49.606,-9.807,-13.402,287.096,301.335,272.858,85.899,88.873,75,0.375,0.03,-0.249,7.1,4.067,287.526,289.925,3.875,-0.275,65.981,47.459,100,0.658,-0.115,-9170.347,-9234.271,282.09,288.224,275.956,-0.227,95.97,14.649,298.07,266.119,298.3,300.8,303.3,284.75,273.7,262.65,-0.384,-0.499,-0.457,10.7,-5.277,4.55,4.439,0.004,0.004,56.159,50.984,0.032,470.999,278.784,286.351,282.669,-41.428,-43.15,-45.309,0.978,0.96
10,1138.19,1146.12,1131.2,1142.52,1139.746,1130.555,1116.007,1127.252,1119.332,1054.034,991.161,72.298,73.761,69.371,3.956,-0.145,8.202,0.361,1.587,2.246,79.57,92.863,77.361,74.956,110.335,35.436,17.536,21.481,22.049,60.851,56.405,54.966,25.15,50.822,-2.299,-12.894,1118.265,1156.422,1080.108,101.981,100.111,58.333,0.352,0.327,0.236,4.27,27.49,1122.212,1124.998,3.19,3.678,73.761,63.979,49.625,0.61,0.114,-25132.953,-25076.092,1130.555,1136.742,1124.367,-0.1,99.575,69.622,1195.102,1062.467,1193.623,1215.097,1236.57,1118.473,1064.797,1011.12,0.318,-0.043,-0.257,35.32,5.135,14.92,18.061,0,0.003,59.189,56.955,0.04,1196.509,1503.207,1150.181,1129.311,907.809,901.141,890.543,1.551,1.506
9,945.6,951.9,932.7,939.4,940.14,922.72,917.828,909.425,869.149,818.349,742.857,78.481,73.287,88.869,14.906,13.474,2.863,0.53,1.836,2.512,110.481,138.662,112.262,129.695,182.463,28.202,11.457,26.115,24.344,66.631,63.795,62.581,20.944,13.641,39.695,41.832,913.44,952.099,874.782,113.373,106.902,58.333,0.372,0.227,0.009,37.1,23.967,903.615,897.328,3.367,3.184,73.287,62.768,34.489,0.33,0.28,-12979.672,-13116.604,922.72,928.347,917.093,0.679,105.644,-97.126,976.852,866.576,986.567,998.833,1011.1,929.067,883.833,838.6,0.507,0.33,0.263,30.6,21.689,19.2,17.425,0.001,0.002,63.9,60.646,0.036,1668.005,1751.023,949.362,930.918,768.091,764.171,743.556,1.298,1.225
10,655.2,661.4,653.2,660.6,654.5,654.86,657.68,660.377,669.227,659.166,637.339,43.237,36.688,56.334,-3.443,-3.889,0.891,1.138,0.491,0.389,-0.159,84.072,63.376,75.358,75.976,19.564,23.929,18.854,18.784,60.736,51.466,48.979,42.995,44.427,-14.504,-11.762,658.681,672.923,644.438,89.773,97.116,58.333,-0.052,-0.098,-0.141,7.6,-8.417,662.275,664.761,-1.506,-0.794,36.688,38.478,100,-0.617,-0.16,-16829.291,-16963.879,654.86,659.583,650.137,-0.109,98.057,107.15,692.68,618.084,673.9,689.45,705,642.85,627.35,611.85,0.226,-0.135,-0.223,-10.1,-5.465,8.2,8.836,-0.002,0,57.623,47.271,-0.014,573.999,-134.921,659.063,649.938,467.091,460.571,460.411,1.257,1.198
10,349.65,350.35,347.4,348.7,348.83,346.815,343.573,341.873,346.7,346.7,346.7,69.895,70.935,67.816,1.47,0.455,2.029,-0.041,0.773,1.742,75.402,162.913,94.936,70.074,64.412,26.401,9.228,52.951,42.582,59.991,58.423,54.774,29.677,22.009,-0.055,-3.284,342.248,351.16,333.336,158.901,151.887,50,0.607,0.524,0.494,2.7,5.633,342.808,342.483,2.288,2.564,70.935,67.702,20.162,0.708,0.165,-7.747,-16.262,346.815,355.631,337.999,0.129,99.271,4.412,366.182,327.03,358.633,363.117,367.6,344.333,334.517,324.7,0.581,0.334,-0.036,7.8,3.138,2.95,4.118,0.035,0,52.32,53.942,0.02,188.501,307.503,351.503,346.157,-4.18,-5.08,-6.08,0,0
11,387.8,392.1,387.55,391,389.18,393.35,398.092,397.638,391.725,397.805,396.182,19.541,21.267,16.089,-1.78,-0.019,-3.521,0.445,-1.089,-1.647,-67.609,78.474,105.861,131.076,131.245,7.344,32.695,53.942,34.888,41.038,42.843,46.824,73.626,74.684,-0.98,6.456,397.842,410.97,384.715,75.838,81.576,33.333,-0.537,-0.489,-0.307,-3.7,-12.075,398.039,397.784,-3.397,-3.842,21.267,36.829,100,-0.825,0.027,-12561.46,-12571.521,393.35,399.245,387.455,-0.438,101.415,43.981,416.74,371.554,395.433,412.967,430.5,372.683,367.467,362.25,-0.436,-0.387,-0.1,-13.75,-2.913,4.55,5.593,0,-0.002,43.844,42.564,-0.036,-235.001,-596.61,392.172,386.188,21.642,19.292,23.182,1.126,1.163
10,1243.8,1251.15,1236.55,1245.75,1249.76,1247.038,1238.919,1225.727,1215.784,1200.956,1155.021,59.108,70.882,35.559,10.818,11.119,-0.602,-0.268,0.026,0.977,11.476,152.531,204.313,164.392,114.756,19.539,20.025,9.615,16.681,52.187,59.173,57.735,32.133,21.51,34.953,29.909,1231.332,1265.172,1197.492,154.003,124.955,50,0.385,0.375,0.365,-4.84,7.353,1224.333,1216.316,0.508,1.502,70.882,79.388,12.601,0.387,0.276,-27516.682,-27378.941,1247.038,1255.777,1238.299,-0.956,102.632,-71.141,1316.002,1178.778,1257.217,1275.433,1293.65,1226.267,1213.533,1200.8,0.366,0.532,0.587,6.3,21.106,14.6,13.38,-0.002,-0.001,52.974,55.59,0.01,-128.796,387.449,1256.297,1243.223,1129.79,1136.324,1135.147,1.35,1.348
