5,1235.2,1232.579,1208.859,1221.559,1228.039,1228.456,1241.597,1239.705,1192.774,1142.13,1.819,6.73,-9.821,31.619,30.495,33.867,94.923,90.213,-0.368,-0.931,-1.728,95.489,107.135,119.301,173.619,21.633,26.375,12.909,18.405,33.333,41.045,45.827,52.069,78.724,82.137,15.528,39.169,1242.132,1276.138,1208.127,-0.103,-0.146,-0.165,-3.261,-1.967,35.714,-25.283,-0.074,-0.012,0.101,-689.661,-734.453,26.341,19.13,17.003,1268.04,-71.603,5.089,-13.913,1237.135,1235.14,31.619,30.495,9.945,-0.671,0.181,-79525.258,-79481.234,1228.456,1241.784,1215.127,103.442,-119.655,1301.093,1159.697,1235.505,1284.473,1333.44,1172.905,1159.273,1145.64,-41.181,-1.374,0.008,0.003,52.332,46.331,1238.287,1217.791,1844.949,1848.049,1845.446
7,1622.37,1615.009,1610,1620.6,1610.123,1611.801,1608.802,1598.794,1597.31,1617.281,5.341,4.78,1.122,68.313,61.61,81.72,129.161,120.583,0.654,0.599,1.044,124.593,108.717,112.604,100.013,15.764,20.627,20.861,17.856,75,65.106,59.011,54.399,13.64,11.812,13.558,11.931,1602.423,1633.283,1571.562,0.169,0.027,0.01,2.045,0.014,64.286,23.762,0.387,0.315,0.186,879.858,382.057,12.37,16.996,15.43,1581.16,94.913,0.571,-1.765,1600.534,1596.882,68.313,61.61,100,0.387,0.058,-43238.988,-43389.801,1611.801,1616.593,1607.009,100.84,102.038,1699.76,1523.84,1649.063,1657.657,1666.25,1609.063,1577.657,1546.25,32.48,10.322,0.001,-0.001,51.805,49.489,1618.186,1602.061,2207.542,2196.092,2197.451
6,404.4,403.5,400.7,404.4,400.57,397.145,393.788,390.32,384.102,370.85,4.956,4.22,1.473,83.868,75.839,99.926,129.488,142.405,1.138,1.86,3.285,143.899,139.029,147.581,116.921,20.803,14.278,25.459,18.917,50,75.627,67.455,62.35,5.665,3.846,12.15,11.044,391.019,406.569,375.469,0.267,0.287,0.307,3.692,2.133,42.857,43.719,0.502,0.404,0.466,725.5,512.224,3.7,6.404,7.775,388.269,171.461,13.4,5.667,388.823,386.233,83.868,75.839,100,0.629,0.23,-10368.907,-10474.647,397.145,404.069,390.221,103.305,18.24,419.386,374.219,417.083,419.467,421.85,400.783,386.867,372.95,14.4,8.406,0.001,0.001,60.873,55.031,403.44,397.7,13.679,6.869,5.019
4,289.25,288.8,279.2,282.5,286.02,284.755,284.02,282.608,284.649,287.119,0.737,0.426,0.623,66.391,72.781,53.612,116.249,103.913,-1.253,-0.707,-0.323,116.333,120.278,94.539,75.95,24.767,31.691,15.836,13.476,50,38.58,45.192,46.996,68.572,56.693,0.537,-0.557,283.044,288.256,277.832,-0.088,0.151,0.236,-0.388,0.939,42.857,38.958,0.608,0.368,0.063,-225.5,115.927,10.05,2.682,2.606,281.539,-28.88,-3.3,3.142,283.03,282.661,66.391,72.781,0,-0.122,0.05,-8331.28,-8269.156,284.755,290.955,278.555,99.996,-111.856,300.583,268.893,288.1,294.15,300.2,277.6,273.15,268.7,-1.1,1.324,0,0,53.93,57.267,287.807,284.232,-1.191,-0.071,-1.391
5,267.8,266.9,264.9,265.4,265.66,261.95,261.842,262.972,266.16,267.626,0.071,-1.032,2.207,78.375,72.392,90.339,91.089,94.382,0.334,1.59,1.115,94.57,82.37,74.996,74.461,25.326,23.696,25.128,38.92,58.333,60.682,56.195,51.601,24.839,24.839,-3.244,-5.749,262.571,269.853,255.289,0.207,0.071,-0.138,1.803,1.139,50,5.888,-0.006,-0.231,-0.264,344.998,394.699,2.9,3.286,3.641,255.446,110.607,7.1,6.542,262.454,263.37,78.375,72.392,50.461,0.671,-0.166,-10448.487,-10480.573,261.95,266.499,257.401,98.42,-29.4,276.402,246.706,278.317,281.533,284.75,262.817,250.533,238.25,4.7,-1.256,0,0,61.822,56.272,267.657,263.663,-112.871,-113.631,-116.801
6,394.1,391.25,391.25,393.5,391.41,391.745,385.61,386.242,398.543,402.928,0.38,-1.019,2.799,57.322,64.058,43.848,115.673,119.257,0.376,0.726,2.098,117.714,102.85,82.597,58.405,31.682,11.096,57.91,39.903,66.667,62.434,56.787,50.725,22.319,18.478,-3.707,-10.801,385.733,399.362,372.104,0.572,0.566,0.574,3.621,3.686,57.143,26.263,0.033,0.101,-0.001,175.5,202.083,3.3,5.118,6.814,378.048,62.827,-0.3,2.725,387.086,387.29,57.322,64.058,81.145,0.613,0.073,-11976.355,-11953.615,391.745,397.638,385.852,97.692,35.292,413.973,369.901,405.9,411.55,417.2,387.3,374.35,361.4,13.75,3.185,-0.004,-0.002,46.49,48.916,394.033,388.787,19.179,17.509,20.324
8,884.9,878,877,880.65,877.49,894.235,913.925,915.73,918.602,859.045,-13.041,-7.921,-10.241,20.843,21.266,19.998,78.932,81.325,0.086,-2.118,-3.644,76.661,74.486,80.401,97.483,6.846,36.815,60.831,47.503,33.333,32.957,37.439,44.356,79.727,84.033,-31.685,-10.79,915.088,962.963,867.214,-0.54,-0.496,-0.365,-5.626,-6.466,35.714,-30.676,-0.332,-0.332,-0.392,-1358.496,-2095.281,7.9,19.354,23.937,948.667,-82.163,-22.5,-39.625,923.296,928.587,20.843,21.266,100,-0.801,-0.091,-26985.381,-26888.377,894.235,899.416,889.054,98.126,17.855,952.014,843.429,897.4,961.5,1025.6,816.75,800.2,783.65,-52.5,-23.883,0,0.004,33.116,36.111,887.574,867.406,622.378,626.468,647.643
6,383.8,382.05,379.8,382.85,381.35,383.005,383.422,381.708,381.678,382.77,0.454,0.92,-0.932,37.743,36.325,40.578,107.379,105.699,0.286,-0.142,-0.018,114.762,126.009,132.62,95.003,17.112,19.554,8.044,14.139,58.333,51.588,51.544,51.45,58.19,38.352,2.627,3.401,382.567,388.794,376.34,-0.459,-0.269,-0.123,-1.034,-0.612,50,4.249,0.119,0.229,0.308,-15.5,-139.596,4,3.744,3.114,386.882,-60.495,-0.55,-3.275,382.016,381.116,37.743,36.325,100,-0.529,0.071,-1072.162,-1080.394,383.005,389.062,376.948,100.841,15.346,403.979,362.13,386.3,392.35,398.4,376.1,371.95,367.8,-4,1.154,0,-0.001,50.852,49.973,383.375,379.325,65.066,62.658,63.472
6,352.2,347.25,346.75,351.5,345.65,345.405,346.728,350.02,353.298,347.346,-2.001,-2.538,1.075,60.242,42.954,94.818,86.98,92.627,1.624,1.57,0.873,87.748,68.207,70.529,89.32,18.503,23.666,20.135,36.833,50,69.079,55.452,51.336,10.4,54.656,-9.944,-8.611,349.406,361.081,337.731,-0.277,-0.218,-0.179,0.171,-0.586,42.857,-35.712,-0.323,-0.314,-0.381,609.5,101.716,5.45,4.15,5.837,349.456,87.229,6.6,-0.367,350.647,352.685,60.242,42.954,100,-0.393,-0.147,-10859.432,-10942.714,345.405,350.475,340.335,97.755,79.91,364.518,325.38,360,362.05,364.1,348.1,338.25,328.4,0.6,-4.51,0.003,0,61.019,55.151,348.083,343.217,-49.571,-56.581,-58.251
6,1232.35,1224.75,1217.4,1228.9,1221.35,1210.919,1195.562,1196.658,1211.772,1182.74,6.039,0.607,10.864,90.064,86.248,97.696,116.661,114.841,0.94,1.777,2.894,117.952,106.542,80.789,75.478,31.095,6.396,49.608,35.256,75,80.707,66.341,57.166,4.912,4.573,1.378,-16.254,1195.42,1231.258,1159.583,0.762,0.651,0.424,3.933,3.794,71.429,38.356,0.2,0.097,-0.058,1798.108,1678.634,14.95,14.619,17.919,1181.03,130.707,25,20.002,1195.311,1195.352,90.064,86.248,100,0.807,0.056,-27908.367,-28165.822,1210.919,1218.012,1203.826,99.075,96.581,1276.643,1142.065,1273.683,1279.817,1285.95,1220.083,1172.617,1125.15,46.5,12.345,-0.003,0,66.176,60.554,1228.458,1214.242,1105.74,1095.803,1082.962
